"D" "I" "G"
"2088" "d0" "i0" "g3"
"2089" "d1" "i0" "g2"
"2090" "d0" "i0" "g2"
"2091" "d0" "i0" "g1"
"2092" "d0" "i0" "g3"
"2093" "d1" "i0" "g3"
"2094" "d0" "i0" "g3"
"2095" "d0" "i0" "g1"
"2096" "d1" "i0" "g3"
"2097" "d0" "i0" "g2"
"2098" "d0" "i1" "g1"
"2099" "d0" "i1" "g1"
"2100" "d1" "i0" "g3"
"2101" "d0" "i0" "g2"
"2102" "d1" "i0" "g3"
"2103" "d1" "i0" "g2"
"2104" "d0" "i0" "g1"
"2105" "d0" "i0" "g1"
"2106" "d1" "i1" "g1"
"2107" "d1" "i0" "g3"
"2108" "d1" "i0" "g3"
"2109" "d0" "i1" "g3"
"2110" "d0" "i1" "g1"
"2111" "d0" "i1" "g1"
"2112" "d0" "i0" "g3"
"2113" "d0" "i0" "g2"
"2114" "d0" "i1" "g1"
"2115" "d0" "i0" "g1"
"2116" "d0" "i1" "g1"
"2117" "d0" "i0" "g2"
"2118" "d1" "i1" "g1"
"2119" "d0" "i0" "g2"
"2120" "d0" "i0" "g2"
"2121" "d0" "i1" "g1"
"2122" "d0" "i0" "g2"
"2123" "d1" "i1" "g1"
"2124" "d0" "i1" "g1"
"2125" "d1" "i1" "g3"
"2126" "d0" "i1" "g1"
"2127" "d1" "i0" "g3"
"2128" "d0" "i1" "g1"
"2129" "d0" "i1" "g3"
"2130" "d0" "i0" "g2"
"2131" "d0" "i1" "g1"
"2132" "d0" "i1" "g1"
"2133" "d0" "i0" "g2"
"2134" "d0" "i0" "g2"
"2135" "d0" "i1" "g1"
"2136" "d0" "i1" "g1"
"2137" "d1" "i0" "g2"
"2138" "d1" "i0" "g2"
"2139" "d0" "i0" "g1"
"2140" "d1" "i1" "g1"
"2141" "d1" "i0" "g2"
"2142" "d0" "i0" "g1"
"2143" "d0" "i0" "g2"
"2144" "d0" "i0" "g1"
"2145" "d0" "i0" "g2"
"2146" "d0" "i0" "g2"
"2147" "d0" "i1" "g1"
"2148" "d0" "i1" "g1"
"2149" "d0" "i0" "g1"
"2150" "d0" "i0" "g3"
"2151" "d0" "i0" "g2"
"2152" "d0" "i0" "g2"
"2153" "d0" "i0" "g3"
"2154" "d0" "i0" "g3"
"2155" "d0" "i1" "g1"
"2156" "d0" "i0" "g2"
"2157" "d0" "i0" "g1"
"2158" "d0" "i1" "g2"
"2159" "d0" "i0" "g3"
"2160" "d0" "i1" "g1"
"2161" "d0" "i1" "g2"
"2162" "d0" "i0" "g2"
"2163" "d1" "i1" "g1"
"2164" "d0" "i0" "g1"
"2165" "d0" "i0" "g3"
"2166" "d0" "i0" "g1"
"2167" "d0" "i1" "g1"
"2168" "d0" "i1" "g1"
"2169" "d0" "i1" "g1"
"2170" "d1" "i0" "g2"
"2171" "d1" "i1" "g2"
"2172" "d0" "i0" "g3"
"2173" "d1" "i1" "g1"
"2174" "d0" "i0" "g3"
"2175" "d0" "i0" "g1"
"2176" "d1" "i0" "g2"
"2177" "d1" "i1" "g3"
"2178" "d0" "i1" "g1"
"2179" "d0" "i0" "g1"
"2180" "d0" "i1" "g1"
"2181" "d0" "i0" "g2"
"2182" "d1" "i1" "g1"
"2183" "d0" "i0" "g1"
"2184" "d0" "i0" "g2"
"2185" "d0" "i1" "g1"
"2186" "d0" "i1" "g1"
"2187" "d1" "i0" "g2"
"2188" "d0" "i0" "g3"
"2189" "d1" "i0" "g3"
"2190" "d1" "i1" "g3"
"2191" "d1" "i0" "g3"
"2192" "d0" "i0" "g2"
"2193" "d0" "i1" "g1"
"2194" "d1" "i0" "g3"
"2195" "d0" "i0" "g2"
"2196" "d1" "i0" "g3"
"2197" "d0" "i0" "g3"
"2198" "d0" "i1" "g1"
"2199" "d1" "i0" "g3"
"2200" "d0" "i0" "g2"
"2201" "d0" "i0" "g1"
"2202" "d0" "i1" "g1"
"2203" "d1" "i0" "g2"
"2204" "d1" "i0" "g2"
"2205" "d0" "i1" "g1"
"2206" "d0" "i0" "g2"
"2207" "d1" "i0" "g2"
"2208" "d0" "i1" "g1"
"2209" "d0" "i1" "g1"
"2210" "d0" "i0" "g3"
"2211" "d0" "i0" "g3"
"2212" "d1" "i0" "g3"
"2213" "d1" "i0" "g3"
"2214" "d0" "i0" "g1"
"2215" "d0" "i0" "g1"
"2216" "d0" "i1" "g1"
"2217" "d0" "i1" "g1"
"2218" "d0" "i0" "g1"
"2219" "d1" "i0" "g3"
"2220" "d1" "i0" "g2"
"2221" "d1" "i0" "g3"
"2222" "d1" "i1" "g2"
"2223" "d1" "i0" "g3"
"2224" "d0" "i1" "g1"
"2225" "d1" "i0" "g3"
"2226" "d0" "i0" "g1"
"2227" "d1" "i1" "g1"
"2228" "d0" "i0" "g2"
"2229" "d0" "i0" "g2"
"2230" "d1" "i0" "g3"
"2231" "d0" "i0" "g3"
"2232" "d0" "i1" "g1"
"2233" "d1" "i0" "g1"
"2234" "d1" "i0" "g3"
"2235" "d1" "i0" "g2"
"2236" "d0" "i1" "g1"
"2237" "d1" "i0" "g3"
"2238" "d0" "i1" "g1"
"2239" "d1" "i1" "g2"
"2240" "d1" "i1" "g3"
"2241" "d0" "i0" "g1"
"2242" "d0" "i1" "g1"
"2243" "d0" "i0" "g1"
"2244" "d0" "i0" "g1"
"2245" "d0" "i0" "g1"
"2246" "d0" "i0" "g2"
"2247" "d0" "i0" "g2"
"2248" "d0" "i0" "g2"
"2249" "d0" "i0" "g1"
"2250" "d0" "i1" "g1"
"2251" "d1" "i0" "g3"
"2252" "d1" "i0" "g3"
"2253" "d0" "i1" "g1"
"2254" "d0" "i1" "g1"
"2255" "d0" "i0" "g2"
"2256" "d1" "i0" "g3"
"2257" "d1" "i0" "g2"
"2258" "d0" "i1" "g1"
"2259" "d1" "i0" "g2"
"2260" "d0" "i0" "g2"
"2261" "d0" "i1" "g1"
"2262" "d1" "i1" "g1"
"2263" "d0" "i0" "g1"
"2264" "d0" "i1" "g1"
"2265" "d1" "i0" "g3"
"2266" "d0" "i1" "g1"
"2267" "d0" "i0" "g2"
"2268" "d1" "i0" "g2"
"2269" "d1" "i0" "g2"
"2270" "d1" "i1" "g1"
"2271" "d1" "i0" "g3"
"2272" "d1" "i0" "g3"
"2273" "d0" "i1" "g1"
"2274" "d0" "i0" "g1"
"2275" "d0" "i0" "g2"
"2276" "d0" "i0" "g2"
"2277" "d0" "i1" "g1"
"2278" "d0" "i0" "g3"
"2279" "d0" "i1" "g1"
"2280" "d1" "i0" "g3"
"2281" "d0" "i0" "g2"
"2282" "d0" "i0" "g1"
"2283" "d0" "i1" "g1"
"2284" "d1" "i1" "g1"
"2285" "d0" "i1" "g1"
"2286" "d0" "i1" "g1"
"2287" "d0" "i0" "g2"
"2288" "d1" "i0" "g3"
"2289" "d1" "i0" "g3"
"2290" "d0" "i0" "g3"
"2291" "d0" "i1" "g1"
"2292" "d0" "i1" "g2"
"2293" "d1" "i1" "g2"
"2294" "d0" "i1" "g1"
"2295" "d1" "i1" "g1"
"2296" "d0" "i0" "g1"
"2297" "d0" "i0" "g1"
"2298" "d0" "i0" "g3"
"2299" "d0" "i1" "g1"
"2300" "d1" "i1" "g1"
"2301" "d1" "i0" "g3"
"2302" "d1" "i0" "g2"
"2303" "d1" "i0" "g2"
"2304" "d1" "i0" "g3"
"2305" "d0" "i0" "g2"
"2306" "d0" "i0" "g3"
"2307" "d0" "i0" "g3"
"2308" "d0" "i0" "g3"
"2309" "d1" "i0" "g3"
"2310" "d1" "i0" "g2"
"2311" "d0" "i0" "g2"
"2312" "d0" "i0" "g2"
"2313" "d1" "i1" "g2"
"2314" "d0" "i0" "g3"
"2315" "d1" "i0" "g3"
"2316" "d1" "i1" "g2"
"2317" "d0" "i0" "g1"
"2318" "d1" "i0" "g3"
"2319" "d0" "i0" "g3"
"2320" "d0" "i0" "g1"
"2321" "d1" "i0" "g2"
"2322" "d0" "i1" "g1"
"2323" "d1" "i0" "g3"
"2324" "d1" "i1" "g1"
"2325" "d1" "i1" "g1"
"2326" "d1" "i1" "g2"
"2327" "d0" "i0" "g1"
"2328" "d0" "i0" "g3"
"2329" "d0" "i0" "g1"
"2330" "d0" "i0" "g1"
"2331" "d0" "i0" "g2"
"2332" "d0" "i1" "g1"
"2333" "d0" "i1" "g1"
"2334" "d0" "i0" "g3"
"2335" "d1" "i0" "g3"
"2336" "d0" "i0" "g1"
"2337" "d1" "i0" "g3"
"2338" "d0" "i0" "g2"
"2339" "d0" "i1" "g1"
"2340" "d0" "i0" "g3"
"2341" "d1" "i0" "g3"
"2342" "d0" "i1" "g1"
"2343" "d0" "i0" "g1"
"2344" "d1" "i0" "g3"
"2345" "d1" "i0" "g3"
"2346" "d0" "i0" "g2"
"2347" "d0" "i0" "g1"
"2348" "d0" "i1" "g1"
"2349" "d0" "i0" "g2"
"2350" "d1" "i0" "g3"
"2351" "d0" "i0" "g1"
"2352" "d0" "i0" "g1"
"2353" "d1" "i0" "g2"
"2354" "d0" "i0" "g3"
"2355" "d1" "i0" "g2"
"2356" "d0" "i0" "g3"
"2357" "d0" "i0" "g1"
"2358" "d0" "i0" "g2"
"2359" "d1" "i1" "g3"
"2360" "d1" "i0" "g3"
"2361" "d0" "i1" "g2"
"2362" "d0" "i1" "g1"
"2363" "d0" "i0" "g2"
"2364" "d0" "i0" "g2"
"2365" "d0" "i0" "g3"
"2366" "d1" "i0" "g3"
"2367" "d0" "i0" "g3"
"2368" "d0" "i1" "g3"
"2369" "d1" "i0" "g1"
"2370" "d0" "i1" "g1"
"2371" "d0" "i1" "g1"
"2372" "d0" "i0" "g2"
"2373" "d0" "i1" "g1"
"2374" "d0" "i1" "g1"
"2375" "d1" "i1" "g1"
"2376" "d1" "i1" "g3"
"2377" "d0" "i0" "g2"
"2378" "d1" "i1" "g3"
"2379" "d1" "i0" "g3"
"2380" "d0" "i0" "g2"
"2381" "d1" "i0" "g2"
"2382" "d0" "i0" "g2"
"2383" "d0" "i0" "g1"
"2384" "d0" "i1" "g1"
"2385" "d1" "i0" "g3"
"2386" "d0" "i0" "g1"
"2387" "d0" "i0" "g3"
"2388" "d0" "i0" "g3"
"2389" "d0" "i1" "g1"
"2390" "d0" "i0" "g1"
"2391" "d1" "i1" "g1"
"2392" "d1" "i1" "g1"
"2393" "d1" "i0" "g2"
"2394" "d0" "i1" "g1"
"2395" "d1" "i0" "g3"
"2396" "d1" "i0" "g3"
"2397" "d1" "i0" "g3"
"2398" "d1" "i1" "g3"
"2399" "d1" "i1" "g1"
"2400" "d0" "i0" "g1"
"2401" "d0" "i0" "g1"
"2402" "d1" "i0" "g2"
"2403" "d0" "i0" "g2"
"2404" "d1" "i0" "g3"
"2405" "d1" "i0" "g3"
"2406" "d0" "i0" "g3"
"2407" "d1" "i0" "g2"
"2408" "d0" "i0" "g3"
"2409" "d1" "i0" "g2"
"2410" "d1" "i0" "g3"
"2411" "d1" "i0" "g3"
"2412" "d1" "i0" "g3"
"2413" "d0" "i0" "g3"
"2414" "d0" "i0" "g1"
"2415" "d0" "i0" "g2"
"2416" "d1" "i0" "g3"
"2417" "d1" "i0" "g3"
"2418" "d0" "i0" "g2"
"2419" "d0" "i0" "g1"
"2420" "d1" "i0" "g3"
"2421" "d0" "i0" "g2"
"2422" "d1" "i1" "g1"
"2423" "d0" "i1" "g1"
"2424" "d0" "i1" "g1"
"2425" "d0" "i1" "g1"
"2426" "d1" "i1" "g1"
"2427" "d1" "i0" "g3"
"2428" "d1" "i0" "g3"
"2429" "d0" "i0" "g2"
"2430" "d1" "i1" "g3"
"2431" "d0" "i0" "g3"
"2432" "d1" "i1" "g1"
"2433" "d0" "i0" "g2"
"2434" "d0" "i1" "g1"
"2435" "d1" "i0" "g3"
"2436" "d0" "i1" "g1"
"2437" "d0" "i1" "g1"
"2438" "d1" "i0" "g2"
"2439" "d0" "i0" "g2"
"2440" "d0" "i0" "g1"
"2441" "d0" "i0" "g3"
"2442" "d1" "i0" "g3"
"2443" "d0" "i0" "g2"
"2444" "d1" "i0" "g3"
"2445" "d1" "i0" "g3"
"2446" "d1" "i0" "g3"
"2447" "d1" "i0" "g3"
"2448" "d0" "i0" "g2"
"2449" "d0" "i0" "g3"
"2450" "d0" "i0" "g2"
"2451" "d1" "i0" "g3"
"2452" "d0" "i0" "g2"
"2453" "d1" "i1" "g3"
"2454" "d1" "i0" "g3"
"2455" "d0" "i1" "g1"
"2456" "d1" "i1" "g1"
"2457" "d1" "i0" "g3"
"2458" "d0" "i0" "g1"
"2459" "d0" "i1" "g1"
"2460" "d1" "i0" "g3"
"2461" "d0" "i0" "g1"
"2462" "d0" "i0" "g1"
"2463" "d1" "i0" "g3"
"2464" "d1" "i1" "g3"
"2465" "d1" "i0" "g1"
"2466" "d1" "i1" "g2"
"2467" "d0" "i0" "g1"
"2468" "d0" "i0" "g3"
"2469" "d0" "i1" "g1"
"2470" "d1" "i0" "g2"
"2471" "d1" "i0" "g1"
"2472" "d0" "i0" "g2"
"2473" "d1" "i0" "g3"
"2474" "d0" "i0" "g1"
"2475" "d0" "i0" "g2"
"2476" "d1" "i1" "g1"
"2477" "d1" "i0" "g2"
"2478" "d1" "i0" "g3"
"2479" "d1" "i0" "g2"
"2480" "d0" "i0" "g3"
"2481" "d1" "i0" "g3"
"2482" "d0" "i0" "g2"
"2483" "d0" "i1" "g1"
"2484" "d0" "i0" "g2"
"2485" "d0" "i0" "g1"
"2486" "d0" "i0" "g3"
"2487" "d0" "i1" "g1"
"2488" "d1" "i1" "g2"
"2489" "d1" "i0" "g3"
"2490" "d1" "i0" "g3"
"2491" "d0" "i0" "g3"
"2492" "d1" "i0" "g3"
"2493" "d1" "i0" "g2"
"2494" "d1" "i0" "g2"
"2495" "d1" "i0" "g1"
"2496" "d0" "i1" "g1"
"2497" "d1" "i0" "g1"
"2498" "d0" "i1" "g1"
"2499" "d1" "i0" "g3"
"2500" "d0" "i1" "g1"
"2501" "d0" "i0" "g1"
"2502" "d0" "i1" "g1"
"2503" "d1" "i0" "g3"
"2504" "d1" "i1" "g3"
"2505" "d0" "i0" "g1"
"2506" "d1" "i0" "g3"
"2507" "d1" "i0" "g3"
"2508" "d1" "i1" "g1"
"2509" "d0" "i1" "g1"
"2510" "d0" "i0" "g2"
"2511" "d1" "i1" "g1"
"2512" "d0" "i0" "g1"
"2513" "d1" "i0" "g2"
"2514" "d0" "i0" "g3"
"2515" "d0" "i0" "g2"
"2516" "d1" "i0" "g3"
"2517" "d1" "i0" "g3"
"2518" "d1" "i1" "g1"
"2519" "d0" "i0" "g2"
"2520" "d0" "i1" "g1"
"2521" "d0" "i0" "g2"
"2522" "d1" "i0" "g1"
"2523" "d0" "i0" "g3"
"2524" "d0" "i0" "g3"
"2525" "d0" "i0" "g2"
"2526" "d1" "i0" "g2"
"2527" "d0" "i0" "g2"
"2528" "d0" "i0" "g2"
"2529" "d0" "i0" "g3"
"2530" "d0" "i1" "g1"
"2531" "d0" "i0" "g1"
"2532" "d0" "i0" "g3"
"2533" "d0" "i0" "g1"
"2534" "d0" "i1" "g2"
"2535" "d1" "i0" "g2"
"2536" "d0" "i0" "g2"
"2537" "d1" "i0" "g1"
"2538" "d1" "i0" "g3"
"2539" "d0" "i0" "g1"
"2540" "d0" "i0" "g2"
"2541" "d1" "i0" "g3"
"2542" "d1" "i1" "g2"
"2543" "d0" "i0" "g1"
"2544" "d0" "i0" "g2"
"2545" "d0" "i0" "g1"
"2546" "d0" "i0" "g2"
"2547" "d1" "i1" "g1"
"2548" "d1" "i0" "g3"
"2549" "d0" "i0" "g2"
"2550" "d0" "i0" "g2"
"2551" "d0" "i0" "g2"
"2552" "d0" "i1" "g1"
"2553" "d1" "i0" "g2"
"2554" "d1" "i0" "g3"
"2555" "d0" "i0" "g1"
"2556" "d1" "i0" "g3"
"2557" "d1" "i0" "g3"
"2558" "d1" "i1" "g1"
"2559" "d0" "i0" "g2"
"2560" "d0" "i1" "g1"
"2561" "d0" "i0" "g3"
"2562" "d0" "i1" "g1"
"2563" "d0" "i0" "g1"
"2564" "d1" "i0" "g3"
"2565" "d0" "i0" "g1"
"2566" "d1" "i1" "g3"
"2567" "d0" "i0" "g2"
"2568" "d0" "i0" "g1"
"2569" "d1" "i0" "g3"
"2570" "d0" "i0" "g1"
"2571" "d1" "i0" "g2"
"2572" "d1" "i0" "g3"
"2573" "d1" "i0" "g3"
"2574" "d0" "i0" "g3"
"2575" "d0" "i1" "g1"
"2576" "d0" "i0" "g1"
"2577" "d0" "i1" "g1"
"2578" "d0" "i0" "g3"
"2579" "d1" "i0" "g2"
"2580" "d0" "i0" "g3"
"2581" "d1" "i0" "g3"
"2582" "d1" "i0" "g3"
"2583" "d1" "i0" "g2"
"2584" "d1" "i1" "g2"
"2585" "d1" "i1" "g1"
"2586" "d0" "i1" "g1"
"2587" "d1" "i0" "g3"
"2588" "d0" "i0" "g3"
"2589" "d0" "i0" "g2"
"2590" "d1" "i0" "g2"
"2591" "d0" "i0" "g2"
"2592" "d0" "i1" "g1"
"2593" "d0" "i0" "g2"
"2594" "d0" "i0" "g1"
"2595" "d1" "i0" "g2"
"2596" "d0" "i1" "g1"
"2597" "d1" "i1" "g2"
"2598" "d1" "i1" "g1"
"2599" "d0" "i0" "g3"
"2600" "d1" "i0" "g3"
"2601" "d1" "i0" "g3"
"2602" "d0" "i1" "g1"
"2603" "d1" "i0" "g3"
"2604" "d0" "i1" "g2"
"2605" "d1" "i0" "g3"
"2606" "d0" "i1" "g1"
"2607" "d0" "i1" "g1"
"2608" "d0" "i1" "g1"
"2609" "d0" "i0" "g3"
"2610" "d1" "i1" "g1"
"2611" "d1" "i0" "g3"
"2612" "d0" "i0" "g3"
"2613" "d0" "i0" "g2"
"2614" "d0" "i0" "g1"
"2615" "d0" "i1" "g1"
"2616" "d0" "i0" "g1"
"2617" "d1" "i0" "g2"
"2618" "d0" "i0" "g3"
"2619" "d0" "i0" "g3"
"2620" "d0" "i0" "g3"
"2621" "d0" "i0" "g2"
"2622" "d0" "i0" "g1"
"2623" "d1" "i1" "g1"
"2624" "d0" "i1" "g1"
"2625" "d1" "i0" "g2"
"2626" "d1" "i0" "g2"
"2627" "d0" "i0" "g2"
"2628" "d0" "i0" "g1"
"2629" "d0" "i0" "g2"
"2630" "d0" "i0" "g2"
"2631" "d1" "i1" "g2"
"2632" "d1" "i0" "g3"
"2633" "d1" "i1" "g1"
"2634" "d0" "i1" "g1"
"2635" "d1" "i0" "g2"
"2636" "d1" "i0" "g3"
"2637" "d1" "i0" "g3"
"2638" "d0" "i0" "g2"
"2639" "d0" "i0" "g2"
"2640" "d1" "i0" "g1"
"2641" "d0" "i0" "g2"
"2642" "d1" "i0" "g3"
"2643" "d1" "i1" "g1"
"2644" "d0" "i0" "g1"
"2645" "d0" "i1" "g1"
"2646" "d1" "i0" "g2"
"2647" "d0" "i1" "g1"
"2648" "d1" "i0" "g3"
"2649" "d1" "i0" "g2"
"2650" "d0" "i0" "g3"
"2651" "d0" "i0" "g2"
"2652" "d0" "i0" "g3"
"2653" "d0" "i1" "g1"
"2654" "d0" "i0" "g2"
"2655" "d1" "i0" "g2"
"2656" "d1" "i1" "g2"
"2657" "d0" "i0" "g1"
"2658" "d0" "i1" "g1"
"2659" "d0" "i1" "g1"
"2660" "d1" "i0" "g2"
"2661" "d0" "i0" "g2"
"2662" "d1" "i1" "g1"
"2663" "d1" "i1" "g1"
"2664" "d1" "i1" "g1"
"2665" "d0" "i0" "g2"
"2666" "d1" "i0" "g3"
"2667" "d0" "i0" "g2"
"2668" "d1" "i1" "g2"
"2669" "d0" "i1" "g1"
"2670" "d1" "i0" "g3"
"2671" "d1" "i1" "g1"
"2672" "d0" "i0" "g1"
"2673" "d0" "i0" "g2"
"2674" "d0" "i0" "g3"
"2675" "d1" "i0" "g2"
"2676" "d1" "i0" "g3"
"2677" "d0" "i0" "g2"
"2678" "d1" "i0" "g2"
"2679" "d0" "i0" "g1"
"2680" "d1" "i0" "g3"
"2681" "d1" "i0" "g2"
"2682" "d1" "i0" "g3"
"2683" "d0" "i0" "g1"
"2684" "d0" "i0" "g1"
"2685" "d1" "i1" "g3"
"2686" "d0" "i0" "g2"
"2687" "d0" "i0" "g2"
"2688" "d0" "i0" "g2"
"2689" "d0" "i0" "g2"
"2690" "d0" "i1" "g1"
"2691" "d0" "i0" "g2"
"2692" "d1" "i0" "g3"
"2693" "d0" "i1" "g1"
"2694" "d0" "i0" "g3"
"2695" "d1" "i0" "g1"
"2696" "d0" "i0" "g2"
"2697" "d0" "i0" "g2"
"2698" "d1" "i1" "g3"
"2699" "d1" "i0" "g3"
"2700" "d1" "i0" "g3"
"2701" "d1" "i0" "g3"
"2702" "d0" "i0" "g1"
"2703" "d0" "i0" "g2"
"2704" "d0" "i0" "g1"
"2705" "d0" "i1" "g1"
"2706" "d0" "i0" "g2"
"2707" "d1" "i0" "g3"
"2708" "d1" "i0" "g3"
"2709" "d0" "i1" "g1"
"2710" "d0" "i1" "g1"
"2711" "d0" "i1" "g1"
"2712" "d1" "i0" "g3"
"2713" "d0" "i0" "g2"
"2714" "d0" "i0" "g2"
"2715" "d1" "i1" "g2"
"2716" "d1" "i0" "g3"
"2717" "d0" "i0" "g2"
"2718" "d0" "i0" "g3"
"2719" "d0" "i0" "g1"
"2720" "d1" "i0" "g3"
"2721" "d0" "i1" "g1"
"2722" "d1" "i0" "g3"
"2723" "d1" "i0" "g2"
"2724" "d1" "i0" "g3"
"2725" "d0" "i0" "g3"
"2726" "d1" "i0" "g2"
"2727" "d1" "i1" "g1"
"2728" "d0" "i1" "g1"
"2729" "d0" "i0" "g3"
"2730" "d0" "i0" "g3"
"2731" "d0" "i0" "g2"
"2732" "d0" "i0" "g2"
"2733" "d0" "i0" "g1"
"2734" "d0" "i0" "g2"
"2735" "d1" "i0" "g2"
"2736" "d0" "i1" "g1"
"2737" "d1" "i0" "g2"
"2738" "d0" "i0" "g3"
"2739" "d0" "i0" "g2"
"2740" "d0" "i0" "g1"
"2741" "d1" "i0" "g2"
"2742" "d0" "i0" "g2"
"2743" "d0" "i1" "g1"
"2744" "d1" "i1" "g1"
"2745" "d1" "i0" "g3"
"2746" "d0" "i1" "g1"
"2747" "d0" "i0" "g1"
"2748" "d0" "i0" "g1"
"2749" "d0" "i0" "g1"
"2750" "d1" "i0" "g2"
"2751" "d1" "i0" "g3"
"2752" "d1" "i1" "g2"
"2753" "d0" "i1" "g1"
"2754" "d0" "i1" "g1"
"2755" "d1" "i1" "g2"
"2756" "d0" "i1" "g1"
"2757" "d1" "i1" "g1"
"2758" "d0" "i0" "g1"
"2759" "d1" "i0" "g3"
"2760" "d0" "i0" "g2"
"2761" "d0" "i1" "g1"
"2762" "d0" "i0" "g2"
"2763" "d0" "i0" "g3"
"2764" "d1" "i1" "g1"
"2765" "d1" "i1" "g1"
"2766" "d0" "i0" "g2"
"2767" "d0" "i0" "g2"
"2768" "d0" "i1" "g1"
"2769" "d0" "i1" "g2"
"2770" "d0" "i0" "g2"
"2771" "d0" "i0" "g2"
"2772" "d1" "i1" "g1"
"2773" "d0" "i0" "g2"
"2774" "d0" "i0" "g2"
"2775" "d0" "i0" "g2"
"2776" "d1" "i0" "g2"
"2777" "d0" "i1" "g1"
"2778" "d0" "i1" "g1"
"2779" "d0" "i1" "g1"
"2780" "d1" "i0" "g1"
"2781" "d0" "i0" "g2"
"2782" "d0" "i1" "g1"
"2783" "d0" "i0" "g2"
"2784" "d0" "i0" "g2"
"2785" "d0" "i0" "g2"
"2786" "d0" "i0" "g3"
"2787" "d0" "i1" "g1"
"2788" "d1" "i0" "g2"
"2789" "d0" "i0" "g2"
"2790" "d1" "i1" "g1"
"2791" "d0" "i0" "g3"
"2792" "d0" "i1" "g1"
"2793" "d1" "i1" "g2"
"2794" "d1" "i0" "g2"
"2795" "d0" "i1" "g1"
"2796" "d1" "i1" "g3"
"2797" "d1" "i0" "g3"
"2798" "d1" "i0" "g3"
"2799" "d0" "i0" "g2"
"2800" "d0" "i0" "g3"
"2801" "d0" "i0" "g2"
"2802" "d1" "i1" "g3"
"2803" "d0" "i0" "g1"
"2804" "d1" "i0" "g2"
"2805" "d0" "i0" "g2"
"2806" "d0" "i0" "g1"
"2807" "d0" "i1" "g1"
"2808" "d0" "i0" "g3"
"2809" "d0" "i1" "g1"
"2810" "d1" "i0" "g2"
"2811" "d1" "i0" "g2"
"2812" "d0" "i0" "g1"
"2813" "d0" "i1" "g1"
"2814" "d1" "i0" "g3"
"2815" "d1" "i0" "g2"
"2816" "d0" "i1" "g1"
"2817" "d1" "i0" "g3"
"2818" "d0" "i0" "g2"
"2819" "d1" "i0" "g3"
"2820" "d1" "i0" "g3"
"2821" "d1" "i0" "g1"
"2822" "d1" "i0" "g1"
"2823" "d0" "i0" "g1"
"2824" "d0" "i1" "g1"
"2825" "d0" "i1" "g1"
"2826" "d1" "i0" "g3"
"2827" "d0" "i1" "g1"
"2828" "d1" "i0" "g2"
"2829" "d0" "i0" "g2"
"2830" "d1" "i0" "g3"
"2831" "d1" "i1" "g1"
"2832" "d0" "i0" "g2"
"2833" "d0" "i0" "g3"
"2834" "d0" "i1" "g1"
"2835" "d0" "i0" "g3"
"2836" "d1" "i0" "g2"
"2837" "d1" "i1" "g2"
"2838" "d1" "i0" "g1"
"2839" "d0" "i0" "g3"
"2840" "d1" "i0" "g3"
"2841" "d1" "i0" "g2"
"2842" "d0" "i0" "g1"
"2843" "d0" "i0" "g2"
"2844" "d1" "i0" "g3"
"2845" "d0" "i1" "g1"
"2846" "d1" "i0" "g2"
"2847" "d1" "i0" "g3"
"2848" "d0" "i0" "g3"
"2849" "d1" "i0" "g3"
"2850" "d1" "i0" "g2"
"2851" "d1" "i0" "g3"
"2852" "d0" "i1" "g1"
"2853" "d0" "i0" "g2"
"2854" "d0" "i0" "g1"
"2855" "d0" "i0" "g3"
"2856" "d0" "i1" "g1"
"2857" "d0" "i1" "g1"
"2858" "d0" "i0" "g2"
"2859" "d0" "i1" "g1"
"2860" "d0" "i1" "g1"
"2861" "d0" "i1" "g1"
"2862" "d0" "i0" "g1"
"2863" "d0" "i0" "g2"
"2864" "d1" "i0" "g3"
"2865" "d1" "i0" "g3"
"2866" "d1" "i1" "g3"
"2867" "d0" "i0" "g2"
"2868" "d1" "i0" "g2"
"2869" "d1" "i0" "g3"
"2870" "d0" "i0" "g1"
"2871" "d0" "i0" "g1"
"2872" "d0" "i0" "g2"
"2873" "d1" "i0" "g2"
"2874" "d0" "i0" "g2"
"2875" "d0" "i1" "g1"
"2876" "d0" "i0" "g2"
"2877" "d1" "i0" "g3"
"2878" "d0" "i1" "g1"
"2879" "d0" "i0" "g2"
"2880" "d1" "i0" "g3"
"2881" "d1" "i1" "g1"
"2882" "d1" "i0" "g3"
"2883" "d0" "i0" "g1"
"2884" "d0" "i0" "g2"
"2885" "d1" "i0" "g3"
"2886" "d1" "i1" "g1"
"2887" "d0" "i0" "g1"
"2888" "d0" "i0" "g3"
"2889" "d1" "i1" "g1"
"2890" "d1" "i0" "g2"
"2891" "d1" "i0" "g3"
"2892" "d0" "i0" "g1"
"2893" "d1" "i0" "g2"
"2894" "d0" "i1" "g1"
"2895" "d1" "i0" "g3"
"2896" "d0" "i1" "g1"
"2897" "d1" "i0" "g1"
"2898" "d0" "i1" "g1"
"2899" "d0" "i0" "g3"
"2900" "d0" "i1" "g1"
"2901" "d1" "i0" "g3"
"2902" "d1" "i1" "g1"
"2903" "d1" "i1" "g2"
"2904" "d0" "i1" "g1"
"2905" "d1" "i0" "g2"
"2906" "d0" "i0" "g2"
"2907" "d0" "i0" "g3"
"2908" "d0" "i0" "g3"
"2909" "d1" "i0" "g3"
